POSITION_X,POSITION_Y,FRAME
433.699387518535,438.597866359665,0
433.726384985266,438.478446621363,1
433.734124682624,438.44826923733,2
433.7271222078,438.451215902386,3
433.809598001999,438.46191140734,4
433.743006912704,438.420539999691,5
433.720038855105,438.384900504653,6
433.701474237312,438.266783006924,7
433.567779662167,438.149227587722,8
433.557363425126,438.081763038189,9
433.57554662052,437.963677641098,10
433.406025026185,437.829102164525,11
433.287674924661,437.837325337171,12
433.268300451474,437.819256536617,13
433.267372813107,437.827884306419,14
433.340551713696,437.904127554341,15
433.304492738611,438.074261467452,16
433.373368111088,438.039929884165,17
433.417216107474,438.184869616435,18
433.475291270456,438.223260304404,19
433.546902248938,438.139697046354,20
433.554523758346,438.256689814376,21
433.60019123392,438.303621391294,22
433.586982532865,438.368168018167,23
433.574918036929,438.421385119556,24
433.54410424295,438.544699890734,25
433.593703330558,438.637051746886,26
433.639576346338,438.651090498506,27
433.586801116124,438.749731524872,28
433.632044964712,438.760861260501,29
433.680507081529,438.819592936208,30
433.614664022947,438.875415796407,31
433.607682823543,438.880336365383,32
433.720042712727,438.861011482588,33
433.694290099107,438.880761659596,34
433.818101688154,438.867373691692,35
433.924397433127,438.84387046882,36
434.169602147297,438.766917177524,37
434.214630618639,438.66902063484,38
434.263943909358,438.750232078781,39
434.268104493797,438.73421977221,40
434.325369594199,438.596968158447,41
434.378425044866,438.575129394013,42
434.301661360925,438.561033974024,43
434.357703584227,438.533582042122,44
434.283210510585,438.420426514942,45
434.200563229285,438.474834345653,46
434.085413295936,438.439463561514,47
433.988620683882,438.442099887915,48
434.082901130405,438.405473460455,49
433.852304875759,438.34676277085,50
433.726419053607,438.370527089505,51
433.623552168023,438.416302815579,52
433.515091985844,438.420327050244,53
433.525121828631,438.449110729603,54
433.533570873435,438.366484950403,55
433.601229290379,438.353624898724,56
433.57128087817,438.319468696133,57
433.628504010114,438.26682974662,58
433.664207756061,438.237395488035,59
433.674852539451,438.248226202273,60
433.698459076392,438.205167567506,61
433.517957314006,438.268396166697,62
433.494658653706,438.191766209444,63
433.495254222185,438.259134352996,64
433.356811240441,438.197694835754,65
433.4102241867,438.288833227796,66
433.320215587374,438.23228581976,67
433.286497493991,438.248583293133,68
433.439697641097,438.164043798702,69
433.360459803617,438.203853474255,70
433.402167319226,438.17965667296,71
433.318509488346,438.185357675785,72
433.358085420016,438.157067497278,73
433.371111130547,438.141311038687,74
433.42111700796,438.139083960483,75
433.368156691058,438.167185797668,76
433.331214371371,438.129720135475,77
433.392001735306,438.192687789485,78
433.359602481141,438.245702061651,79
433.375671326871,438.299771434015,80
433.356832810111,438.279923345898,81
433.329999175949,438.259409340821,82
433.299067763958,438.200863450244,83
433.195636016438,438.200102531234,84
433.23152435964,438.208214055954,85
433.142048335814,438.190749610472,86
433.180199959325,438.174656832318,87
433.171699080824,438.197973693528,88
433.280179728827,438.266907799161,89
433.21581247744,438.355028303001,90
433.313055630673,438.371918679331,91
433.377227255431,438.437499507679,92
433.389726970542,438.442074900696,93
433.42076050517,438.470372201287,94
433.337687474373,438.436791987294,95
433.400047089556,438.440898274962,96
433.261548421363,438.431681801351,97
433.209140800743,438.378145870099,98
433.252216832212,438.110619056037,99
433.272351120442,438.09382814135,100
433.376028620252,437.991968029785,101
433.365396379382,437.975076308999,102
433.464289635838,437.857860288857,103
433.540046658425,437.911897760041,104
433.632498504084,437.885438623836,105
433.734861897592,438.004552146589,106
433.717033725924,437.993993491075,107
433.645556975734,438.084372961597,108
433.558779376282,438.095878288255,109
433.530683750348,438.056271728894,110
433.466583359641,438.01784958024,111
433.465230483787,437.821227204484,112
433.421433391477,437.760512836857,113
433.494360366605,437.734727232553,114
433.462136993428,437.809077474055,115
433.529121649415,437.812025867255,116
433.544017367576,437.861551605232,117
433.545843209466,438.021438505671,118
433.566448084865,438.031580644179,119
433.548940191211,438.046267999411,120
433.480106594796,438.073775341847,121
433.480060696187,438.145540885217,122
433.351691088852,438.166182696294,123
433.268352884007,438.223262051171,124
433.276539493595,438.211712907025,125
433.316305955324,438.207983424923,126
433.326000383166,438.20111575318,127
433.261155777885,438.32841451312,128
433.331226165893,438.332416758933,129
433.243717012309,438.386719954144,130
433.201972373269,438.468099981974,131
433.134675387208,438.461384102673,132
433.01551209362,438.474459233734,133
433.013215697735,438.421850673671,134
432.969697321315,438.481918238292,135
432.864638418042,438.458261602573,136
432.910605840578,438.495272354508,137
432.947754676979,438.493606993405,138
432.995965928406,438.537034405374,139
433.047728070301,438.550788431859,140
433.184823954502,438.499092767133,141
433.232073678083,438.487101904868,142
433.179857275403,438.473413180781,143
433.234098185251,438.427969109355,144
433.2066206834,438.441825110666,145
433.207220815431,438.365044527839,146
433.233191915096,438.32456831594,147
433.217244413791,438.329887448902,148
433.168227602904,438.311895332123,149
433.08872111285,438.324985930855,150
433.143857216188,438.316598977524,151
433.110956506633,438.272794039202,152
433.120030519957,438.268383094901,153
433.051214583478,438.282776891775,154
432.979897402518,438.205190512788,155
432.930968138057,438.189181772703,156
432.840270306189,438.166629658287,157
432.816167467917,437.9120747653,158
432.602431502439,438.032753439222,159
432.627373839292,438.025364793829,160
432.767048017462,438.026069542263,161
432.789872365226,438.088870680893,162
432.933908813628,438.167924205051,163
432.988169046755,438.298912255518,164
433.211859891969,438.216134381458,165
433.392149186679,438.182979361684,166
433.465638778436,438.052364214153,167
433.521968592621,438.026569987648,168
433.56772114829,437.983552990543,169
433.761303887965,437.895734568255,170
433.685156113594,437.982713814973,171
433.597651527663,438.012832255951,172
433.578080062022,438.039586165929,173
433.590402104869,437.968112662871,174
433.502686195971,438.089676451268,175
433.463571507659,438.142873813154,176
433.453089353421,438.322760284225,177
433.429174431697,438.377809802885,178
433.533749865638,438.420705053027,179
433.607894945959,438.47062539877,180
433.633425361727,438.51000277256,181
433.882750381302,438.467413072174,182
434.025114642774,438.530569698469,183
434.298619709911,438.530381756691,184
434.495159524445,438.540049602633,185
434.59602886817,438.546312903781,186
434.737997067779,438.577475942812,187
434.855013865303,438.548071883184,188
434.89574409714,438.497941404429,189
434.918205969138,438.580158110517,190
434.952681428018,438.576196325243,191
435.032269149912,438.487244405315,192
